                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.18361,                0.15537,                 1.3652,                0.99912,                      1,                  0.995,                0.80307,                0.83045,                0.31989,                 2.3978,             0.00072631,             0.00072631,             0.00072631
                     60,                 0.1823,                0.15687,                 1.3551,                0.99926,                      1,                  0.995,                0.78829,                0.85738,                0.33201,                 2.3319,             0.00070981,             0.00070981,             0.00070981
                     61,                0.18249,                0.15839,                 1.3566,                0.99974,                      1,                  0.995,                0.81707,                0.85328,                0.33719,                  2.382,             0.00069331,             0.00069331,             0.00069331
                     62,                 0.1823,                0.15657,                 1.3522,                0.99975,                      1,                  0.995,                0.79904,                0.84555,                0.29396,                  2.162,              0.0006768,              0.0006768,              0.0006768
                     63,                 0.1759,                0.14948,                 1.3863,                0.99974,                      1,                  0.995,                0.80789,                0.85257,                0.32167,                 2.3117,              0.0006603,              0.0006603,              0.0006603
                     64,                0.18307,                0.15193,                 1.3642,                0.99911,                      1,                  0.995,                0.77982,                0.85497,                0.33366,                 2.2821,              0.0006438,              0.0006438,              0.0006438
                     65,                0.17648,                0.15225,                 1.3565,                 0.9994,                      1,                  0.995,                0.80723,                0.83017,                0.31596,                 2.3651,             0.00062729,             0.00062729,             0.00062729
                     66,                0.18221,                0.15348,                 1.3452,                0.99907,                      1,                  0.995,                0.80238,                0.84903,                0.33963,                 2.3118,             0.00061079,             0.00061079,             0.00061079
                     67,                0.17407,                0.14782,                 1.3517,                0.99974,                      1,                  0.995,                0.80176,                0.84419,                 0.3112,                 2.2862,             0.00059429,             0.00059429,             0.00059429
                     68,                0.17772,                0.14829,                 1.3695,                0.99905,                      1,                  0.995,                0.79534,                0.86208,                0.32475,                 2.3221,             0.00057778,             0.00057778,             0.00057778
                     69,                0.17181,                 0.1457,                 1.3566,                0.99902,                      1,                  0.995,                0.82116,                0.83854,                0.31313,                 2.3133,             0.00056128,             0.00056128,             0.00056128
                     70,                0.17317,                 0.1471,                 1.3428,                 0.9992,                      1,                  0.995,                0.81027,                0.83234,                 0.3155,                 2.2092,             0.00054478,             0.00054478,             0.00054478
                     71,                0.17344,                0.14925,                  1.341,                0.99921,                      1,                  0.995,                0.80148,                0.83259,                0.31415,                  2.195,             0.00052827,             0.00052827,             0.00052827
                     72,                 0.1739,                0.14392,                 1.3534,                0.99932,                      1,                  0.995,                0.79057,                0.85106,                0.30855,                 2.2762,             0.00051177,             0.00051177,             0.00051177
                     73,                0.17494,                0.14728,                 1.3588,                0.99951,                      1,                  0.995,                0.80469,                0.83625,                0.29458,                 2.3341,             0.00049527,             0.00049527,             0.00049527
                     74,                0.17384,                 0.1431,                 1.3566,                0.99932,                      1,                  0.995,                0.78921,                0.85022,                0.30257,                 2.3543,             0.00047876,             0.00047876,             0.00047876
                     75,                0.16819,                0.13964,                 1.3625,                0.99932,                      1,                  0.995,                0.81446,                0.83389,                0.31571,                 2.3387,             0.00046226,             0.00046226,             0.00046226
                     76,                0.16896,                0.13972,                 1.3524,                0.99933,                      1,                  0.995,                0.79748,                0.85267,                 0.3084,                 2.3764,             0.00044576,             0.00044576,             0.00044576
                     77,                0.17205,                 0.1415,                 1.3596,                0.99923,                      1,                  0.995,                0.80056,                0.84546,                0.31675,                  2.409,             0.00042925,             0.00042925,             0.00042925
                     78,                0.16823,                 0.1417,                 1.3526,                0.99929,                      1,                  0.995,                 0.8119,                0.83987,                0.31918,                  2.339,             0.00041275,             0.00041275,             0.00041275
                     79,                 0.1684,                0.13869,                 1.3569,                0.99922,                      1,                  0.995,                0.80501,                0.85172,                0.31418,                 2.3756,             0.00039625,             0.00039625,             0.00039625
                     80,                0.16141,                0.13565,                 1.3569,                0.99938,                      1,                  0.995,                0.79597,                0.85473,                 0.3318,                 2.3576,             0.00037974,             0.00037974,             0.00037974
                     81,                0.17044,                0.14334,                 1.3683,                0.99927,                      1,                  0.995,                  0.812,                0.84305,                0.32709,                 2.3045,             0.00036324,             0.00036324,             0.00036324
                     82,                0.15935,                0.13496,                 1.3431,                0.99931,                      1,                  0.995,                0.79967,                0.86186,                0.33484,                 2.3713,             0.00034674,             0.00034674,             0.00034674
                     83,                0.16572,                0.13984,                 1.3318,                 0.9993,                      1,                  0.995,                0.81164,                0.84202,                0.31403,                 2.2895,             0.00033023,             0.00033023,             0.00033023
                     84,                0.16128,                0.13398,                 1.3521,                0.99939,                      1,                  0.995,                 0.8062,                 0.8396,                0.31007,                 2.3444,             0.00031373,             0.00031373,             0.00031373
                     85,                0.16444,                0.13623,                  1.378,                0.99927,                      1,                  0.995,                 0.7974,                0.85175,                0.31479,                 2.3268,             0.00029723,             0.00029723,             0.00029723
                     86,                0.16315,                0.13418,                 1.3812,                0.99932,                      1,                  0.995,                0.80972,                0.84434,                0.32477,                 2.3642,             0.00028072,             0.00028072,             0.00028072
                     87,                0.16042,                0.13573,                 1.3625,                0.99925,                      1,                  0.995,                0.80162,                0.84473,                0.31682,                 2.3295,             0.00026422,             0.00026422,             0.00026422
